"site_code","year","tag","date","field_team","unhealthy","cow","n_small_trees","n_medium_trees","n_small_dead","n_medium_dead","n_dead_down","n_standing_dead","site_notes","n_aspen_trees_surveyed","n_tree_species","plot_radius_m","plot_area_m2","n_adult_dead","n_adult_damaged","n_standing","n_fallen","n_standing_dead_full_survey","n_alive","dbh_center_live","dbh_mean_live","basal_area_live_m2","basal_area_density_live","plot_area_m2_derived","n_standing_in_previous_survey","n_still_standing_in_current_year","n","FRACTION_STANDING_AFTER_NUM_YEARS","pfailure","expected_fallen_dead","n_adult_dead_w_background_mortality_estimate","n_adult_dead_or_damaged","n_adult_dead_per_m2","n_adult_damaged_per_m2","n_adult_dead_or_damaged_per_m2","n_standing_dead_per_m2","n_adult_dead_w_background_mortality_estimate_per_m2","frac_adult_dead","frac_adult_damaged","frac_adult_dead_or_damaged","frac_standing_dead","frac_adult_dead_w_background_mortality_estimate","frac_adult_dead_per_m2","frac_adult_damaged_per_m2","frac_adult_dead_or_damaged_per_m2","frac_standing_dead_per_m2","frac_adult_dead_w_background_mortality_estimate_per_m2"
"DAZIP",2020,432,2020-07-23,"Gavin + Courtenay",0,0,0,2,0,0,4,0,NA,13,1,6.6,136.847775990371,1,4,13,0,0,13,19.5,15.8416666666667,0.264552731960633,0.00193318985307622,136.847775990371,11,11,2,1,0,0.313477534090597,1,5,0.00730738948998601,0.0292295579599441,0.0365369474499301,0,0.00730738948998601,0.0769230769230769,0.307692307692308,0.384615384615385,0,0.0769230769230769,0.000562106883845078,0.00224842753538031,0.00281053441922539,0,0.000562106883845078
"DAZIP",2023,432,2023-08-13,"BB, CR",0,0,1,2,0,0,2,0,"next to fence; on north side of fence",14,1,6.6,136.847775990371,3,3,11,3,0,11,20,15.1818181818182,0.237447855943624,0.00173512396694215,136.847775990371,13,10,3,0.769230769230769,0.0837370402030707,0.551732014326143,3,6,0.021922168469958,0.021922168469958,0.0438443369399161,0,0.021922168469958,0.214285714285714,0.214285714285714,0.428571428571429,0,0.214285714285714,0.00156586917642557,0.00156586917642557,0.00313173835285115,0,0.00156586917642557
"DBUZY",2018,409,2018-07-23,NA,0,0,19,3,NA,NA,NA,2,NA,11,1,3.6,40.7150407905237,3,0,11,0,2,9,19.5,22.75,0.330264640097607,0.00811161265432099,40.7150407905237,NA,NA,NA,NA,NA,NA,3,3,0.0736828440240256,0,0.0736828440240256,0.0491218960160171,0.0736828440240256,0.272727272727273,0,0.272727272727273,2,0.272727272727273,0.00669844036582051,0,0.00669844036582051,0.0491218960160171,0.00669844036582051
"DBUZY",2020,409,2020-07-20,"Gavin, Aidan",0,0,13,3,15,1,8,1,NA,12,1,10,314.159265358979,3,0,12,0,1,11,19.5,23.2222222222222,0.38669235654506,0.00123088,314.159265358979,11,11,2,1,0,0.313477534090597,3,3,0.00954929658551372,0,0.00954929658551372,0.00318309886183791,0.00954929658551372,0.25,0,0.25,1,0.25,0.000795774715459477,0,0.000795774715459477,0.00318309886183791,0.000795774715459477
"DBUZY",2023,409,2023-07-17,"EC, HL",0,0,24,5,1,3,10,3,NA,1,1,NA,NA,3,NA,1,0,0,1,19.8,NA,0.0307907495978336,NA,40.7150407905237,12,12,3,NA,NA,0.509291090147209,3.50929109014721,NA,0.0736828440240256,NA,NA,0.0736828440240256,0.0861915160100732,0.272727272727273,NA,NA,0.272727272727273,0.319026462740655,0.00669844036582051,NA,NA,0.00669844036582051,0.00783559236455211
"DCHZ",2018,165,2018-07-02,NA,NA,NA,7,6,NA,NA,NA,1,NA,11,1,5.97,111.969189607328,1,1,11,0,1,10,29.6,14.97,0.245167534491657,0.00218959818635332,111.969189607328,NA,NA,NA,NA,NA,NA,1,2,0.00893102829007659,0.00893102829007659,0.0178620565801532,0.00893102829007659,0.00893102829007659,0.0909090909090909,0.0909090909090909,0.181818181818182,1,0.0909090909090909,0.000811911662734235,0.000811911662734235,0.00162382332546847,0.00893102829007659,0.000811911662734235
"DCHZ",2023,165,2023-07-18,"HL, VM",0,0,5,7,0,0,2,1,NA,1,1,NA,NA,1,NA,1,0,0,1,31.4,NA,0.0774371173183348,NA,111.969189607328,11,11,5,NA,NA,0.767023423802733,1.76702342380273,NA,0.00893102829007659,NA,NA,0.00893102829007659,0.0157813361872102,0.0909090909090909,NA,NA,0.0909090909090909,0.160638493072976,0.000811911662734235,NA,NA,0.000811911662734235,0.00143466692611002
"DCTAC01",2018,459,2018-07-24,NA,1,0,15,13,NA,NA,NA,7,"Deer Creek Trail Aspen Cemetery",11,1,4.1,52.8101725068444,7,1,11,0,7,4,28.5,17.325,0.107944338179182,0.00204400654372397,52.8101725068444,NA,NA,NA,NA,NA,NA,7,8,0.13255022030259,0.0189357457575128,0.151485966060103,0.13255022030259,0.13255022030259,0.636363636363636,0.0909090909090909,0.727272727272727,7,0.636363636363636,0.0120500200275082,0.00172143143250117,0.0137714514600093,0.13255022030259,0.0120500200275082
"DCTAC01",2020,459,2020-08-12,"Gavin and Erin",1,1,14,20,3,3,8,6,"Lots of leafhoppers, trail aspen cementary",15,1,4.5,63.6172512351933,8,4,15,0,6,9,25.3,16.1,0.158944953317559,0.00249845679012346,63.6172512351933,11,11,2,1,0,0.313477534090597,8,12,0.125752053801004,0.0628760269005019,0.188628080701506,0.0943140403507528,0.125752053801004,0.533333333333333,0.266666666666667,0.8,6,0.533333333333333,0.00838347025340025,0.00419173512670012,0.0125752053801004,0.0943140403507528,0.00838347025340025
"DCTAC01",2023,459,2023-06-29,"EC CP",1,1,14,15,3,4,11,3,"Canopy trees mostly dead, but lots of regen",18,1,4.5,63.6172512351933,11,3,13,5,6,9,30.1,12.5428571428571,0.126246471580833,0.00198446913580247,63.6172512351933,15,10,3,0.666666666666667,0.126447291698001,0.636613862684011,11,14,0.17290907397638,0.0471570201753764,0.220066094151757,0.0471570201753764,0.17290907397638,0.611111111111111,0.166666666666667,0.777777777777778,3,0.611111111111111,0.00960605966535445,0.00261983445418758,0.012225894119542,0.0471570201753764,0.00960605966535445
"DDKJ",2018,261,2018-07-10,NA,NA,NA,4,3,NA,NA,NA,2,NA,11,1,3.6,40.7150407905237,2,1,11,0,2,9,29.1,19.6444444444444,0.35300348772429,0.00867010030864197,40.7150407905237,NA,NA,NA,NA,NA,NA,2,3,0.0491218960160171,0.0245609480080085,0.0736828440240256,0.0491218960160171,0.0491218960160171,0.181818181818182,0.0909090909090909,0.272727272727273,2,0.181818181818182,0.00446562691054701,0.0022328134552735,0.00669844036582051,0.0491218960160171,0.00446562691054701
"DDKJ",2020,261,2020-08-18,"Courtenay and Erin",0,0,8,4,8,0,4,2,NA,11,1,3.7,43.0084034276443,2,1,11,0,2,9,29.2,20.8777777777778,0.406723936702512,0.0094568480642805,43.0084034276443,11,11,2,1,0,0.313477534090597,2,3,0.0465025399830227,0.0232512699915114,0.0697538099745341,0.0465025399830227,0.0465025399830227,0.181818181818182,0.0909090909090909,0.272727272727273,2,0.181818181818182,0.00422750363482025,0.00211375181741012,0.00634125545223037,0.0465025399830227,0.00422750363482025
"DDKJ",2023,261,2023-07-06,"MB, VM",0,0,9,1,1,1,3,2,"old man bark",1,1,NA,NA,2,NA,1,0,0,1,29.6,NA,0.0688134454842308,NA,40.7150407905237,11,11,3,NA,NA,0.466850165968275,2.46685016596827,NA,0.0491218960160171,NA,NA,0.0491218960160171,0.060588178669894,0.181818181818182,NA,NA,0.181818181818182,0.224259105997116,0.00446562691054701,NA,NA,0.00446562691054701,0.00550801624271764
"DEGLR",2018,421,2018-07-23,NA,0,0,0,0,NA,NA,NA,1,NA,11,1,11.1,387.075630848798,1,0,11,0,1,10,31.7,28.77,0.772435166710573,0.0019955665124584,387.075630848798,NA,NA,NA,NA,NA,NA,1,1,0.00258347444350126,0,0.00258347444350126,0.00258347444350126,0.00258347444350126,0.0909090909090909,0,0.0909090909090909,1,0.0909090909090909,0.000234861313045569,0,0.000234861313045569,0.00258347444350126,0.000234861313045569
"DEGLR",2020,421,2020-07-23,"Gavin, Courtenay",0,0,0,0,0,0,0,1,NA,14,1,11.1,387.075630848798,1,1,14,0,1,13,32.2,23.9307692307692,0.806887442546166,0.00208457308660011,387.075630848798,11,11,2,1,0,0.313477534090597,1,2,0.00258347444350126,0.00258347444350126,0.00516694888700253,0.00258347444350126,0.00258347444350126,0.0714285714285714,0.0714285714285714,0.142857142857143,1,0.0714285714285714,0.000184533888821519,0.000184533888821519,0.000369067777643038,0.00258347444350126,0.000184533888821519
"DEYR",2018,233,2018-07-08,NA,0,0,4,0,NA,NA,NA,0,NA,9,1,11.5,415.47562843725,0,0,9,0,0,9,33,29.6555555555556,0.638449381627622,0.00153667107750473,415.47562843725,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEYR",2023,233,2023-07-10,"HL, VM",0,0,3,0,0,0,5,1,NA,1,1,NA,NA,1,NA,1,0,0,1,33.9,NA,0.0902587423357981,NA,415.47562843725,9,9,5,NA,NA,0.627564619474963,1.62756461947496,NA,0.00240688004675834,NA,NA,0.00240688004675834,0.00391735280742412,0.0909090909090909,NA,NA,0.0909090909090909,0.147960419952269,0.000218807276978031,NA,NA,0.000218807276978031,0.000356122982493102
"DFRLK",2018,315,2018-07-14,NA,NA,NA,0,0,NA,NA,NA,0,NA,4,1,6,113.097335529233,0,0,4,0,0,4,11.8,14.725,0.0836174154661093,0.000739340277777778,113.097335529233,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DFRLK",2020,315,2020-07-15,"Gavin,  Aiden",0,0,0,0,0,0,5,0,"Large fall event with trees #9, #10",4,1,5.7,102.070345315132,0,0,4,0,0,4,12.2,15.1,0.0882222048981086,0.000864327485380117,102.070345315132,4,4,2,1,0,0.113991830578399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DFRLK",2023,315,2023-08-19,"BB, CR",0,0,0,0,0,0,1,0,"large fall event with trees #9, #10",4,1,5.7,102.070345315132,0,0,4,0,0,4,13.2,16.075,0.098423741642478,0.000964273622653124,102.070345315132,4,4,3,1,0,0.169763696715736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DFZI",2018,211,2018-07-06,NA,NA,NA,7,0,NA,NA,NA,0,NA,11,1,9,254.469004940773,0,0,11,0,0,11,43.8,24.1181818181818,0.56790648938759,0.00223173148148148,254.469004940773,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DFZI",2023,211,2023-07-10,"HL, VM",0,0,3,3,3,0,4,0,NA,1,1,NA,NA,0,NA,1,0,0,1,46.8,NA,0.172021047339963,NA,254.469004940773,11,11,5,NA,NA,0.767023423802733,0.767023423802733,NA,0,NA,NA,0,0.00301421158927098,0,NA,NA,0,0.0697294021638848,0,NA,NA,0,0.000274019235388271
"DKWBZ",2018,351,2018-07-18,NA,0,0,18,1,NA,NA,NA,0,NA,11,1,5.3,88.2473376393373,1,0,11,0,0,11,46.3,29.87,0.911406659334771,0.0103278657885368,88.2473376393373,NA,NA,NA,NA,NA,NA,1,1,0.0113317866209965,0,0.0113317866209965,0,0.0113317866209965,0.0909090909090909,0,0.0909090909090909,0,0.0909090909090909,0.00103016242009059,0,0.00103016242009059,0,0.00103016242009059
"DKWBZ",2020,351,2020-08-03,"Gavin and Aidan",0,0,12,2,3,1,1,0,NA,11,1,5.4,91.6088417786784,1,3,11,0,0,11,47.5,30.35,0.945397121050286,0.010319933127572,91.6088417786784,11,11,2,1,0,0.313477534090597,1,4,0.0109159768924482,0.0327479306773447,0.043663907569793,0,0.0109159768924482,0.0909090909090909,0.272727272727273,0.363636363636364,0,0.0909090909090909,0.000992361535677113,0.00297708460703134,0.00396944614270845,0,0.000992361535677113
"DKWBZ",2023,351,2023-08-18,"BB, EH, KP",0,0,9,3,5,0,1,0,"tag backwards; saw grouse",12,1,5.5,95.0331777710912,1,3,11,1,0,11,47.9,31.6545454545455,1.10025643312185,0.0115776033057851,95.0331777710912,11,10,3,0.909090909090909,0.0312706872849103,0.466850165968275,1,4,0.0105226408655799,0.0315679225967396,0.0420905634623194,0,0.0105226408655799,0.0833333333333333,0.25,0.333333333333333,0,0.0833333333333333,0.000876886738798321,0.00263066021639496,0.00350754695519329,0,0.000876886738798321
"DNNZ",2018,275,2018-07-10,NA,NA,NA,15,4,NA,NA,NA,1,NA,11,1,3.9,47.7836242611007,3,0,11,0,1,10,27.9,19.75,0.274367852808611,0.00574188034188034,47.7836242611007,NA,NA,NA,NA,NA,NA,3,3,0.0627830150263887,0,0.0627830150263887,0.0209276716754629,0.0627830150263887,0.272727272727273,0,0.272727272727273,1,0.272727272727273,0.00570754682058079,0,0.00570754682058079,0.0209276716754629,0.00570754682058079
"DNNZ",2023,275,2023-07-12,"EC AB MW",0,0,15,9,4,1,6,4,NA,1,1,NA,NA,4,NA,1,0,0,1,28.7,NA,0.0646924613208844,NA,47.7836242611007,11,11,5,NA,NA,0.767023423802733,4.76702342380273,NA,0.0837106867018516,NA,NA,0.0837106867018516,0.0997627010825846,0.363636363636364,NA,NA,0.363636363636364,0.433365765800248,0.00761006242744105,NA,NA,0.00761006242744105,0.00906933646205315
"DNSQI",2018,393,2018-07-21,NA,NA,0,9,0,NA,NA,NA,2,NA,11,1,7.5,176.714586764426,2,3,11,0,2,9,39.8,34.1333333333333,0.832818933707059,0.00471279111111111,176.714586764426,NA,NA,NA,NA,NA,NA,2,5,0.0113176848420903,0.0169765272631355,0.0282942121052258,0.0113176848420903,0.0113176848420903,0.181818181818182,0.272727272727273,0.454545454545455,2,0.181818181818182,0.00102888044019003,0.00154332066028505,0.00257220110047508,0.0113176848420903,0.00102888044019003
"DNSQI",2020,393,2020-07-22,"Gavin + Ben",0,0,7,0,3,0,10,1,"lots of leaf hoppers. near a lot of cow",11,1,7.6,181.458391671346,2,6,11,0,1,10,40.5,34.7,0.860781464518499,0.00474368507617729,181.458391671346,11,11,2,1,0,0.313477534090597,2,8,0.0110218104634277,0.033065431390283,0.0440872418537106,0.00551090523171383,0.0110218104634277,0.181818181818182,0.545454545454545,0.727272727272727,1,0.181818181818182,0.00100198276940251,0.00300594830820754,0.00400793107761006,0.00551090523171383,0.00100198276940251
"DNSQI",2023,393,2023-07-07,"EC, MB",1,1,13,2,1,0,8,2,"very open site. 5/5 stars",1,1,NA,NA,2,NA,1,0,0,1,41.5,NA,0.135265198691126,NA,176.714586764426,11,11,3,NA,NA,0.466850165968275,2.46685016596827,NA,0.0113176848420903,NA,NA,0.0113176848420903,0.0139595163655436,0.181818181818182,NA,NA,0.181818181818182,0.224259105997116,0.00102888044019003,NA,NA,0.00102888044019003,0.00126904694232214
"DPEXK",2018,288,2018-07-12,NA,1,0,3,1,NA,NA,NA,0,NA,11,1,7.2,162.860163162095,1,1,11,0,0,11,29,21.62,0.452478877507557,0.0027783275462963,162.860163162095,NA,NA,NA,NA,NA,NA,1,2,0.00614023700200213,0.00614023700200213,0.0122804740040043,0,0.00614023700200213,0.0909090909090909,0.0909090909090909,0.181818181818182,0,0.0909090909090909,0.000558203363818376,0.000558203363818376,0.00111640672763675,0,0.000558203363818376
"DPEXK",2020,288,2020-07-05,"Gavin, Nicole, Courtenay, Roxy, Gabe",1,0,1,1,NA,NA,16,0,NA,12,1,7.2,162.860163162095,2,0,12,0,0,12,27.5,22.13,0.465650790105896,0.00285920621141975,162.860163162095,11,11,2,1,0,0.313477534090597,2,2,0.0122804740040043,0,0.0122804740040043,0,0.0122804740040043,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0.00102337283366702,0,0.00102337283366702,0,0.00102337283366702
"DPEXK",2023,288,2023-07-02,"EC, VM, HL",1,1,0,0,0,0,11,4,"lots of down dead",1,1,NA,NA,4,NA,1,0,0,1,30.3,NA,0.0721066199833563,NA,162.860163162095,12,12,3,NA,NA,0.509291090147209,4.50929109014721,NA,0.0245609480080085,NA,NA,0.0245609480080085,0.0276881160045204,0.363636363636364,NA,NA,0.363636363636364,0.409935553649746,0.0022328134552735,NA,NA,0.0022328134552735,0.0025171014549564
"DRCAD01",2018,374,2018-07-20,NA,1,0,14,0,NA,NA,NA,4,"Deer Creek All Dead",11,1,4.9,75.4296396126909,4,3,11,0,4,7,17.8,22.0285714285714,0.270414158454068,0.00358498542274052,75.4296396126909,NA,NA,NA,NA,NA,NA,4,7,0.0530295520506107,0.039772164037958,0.0928017160885687,0.0530295520506107,0.0530295520506107,0.363636363636364,0.272727272727273,0.636363636363636,4,0.363636363636364,0.00482086836823733,0.003615651276178,0.00843651964441534,0.0530295520506107,0.00482086836823733
"DRCAD01",2020,374,2020-07-10,"Gavin, Courtenay, Aiden",1,0,7,0,NA,NA,25,4,"some seedlings look grazed, nail hole getting big, and tag backwards, made new hole in tag and renailed.",12,1,4.9,75.4296396126909,5,7,11,1,4,7,18,22.0285714285714,0.270176968208722,0.00358184089962515,75.4296396126909,11,10,2,0.909090909090909,0.0465361826677765,0.313477534090597,5,12,0.0662869400632634,0.0928017160885687,0.159088656151832,0.0530295520506107,0.0662869400632634,0.416666666666667,0.583333333333333,1,4,0.416666666666667,0.00552391167193861,0.00773347634071406,0.0132573880126527,0.0530295520506107,0.00552391167193861
"DRCBB01",2018,381,2018-07-20,NA,1,0,2,0,NA,NA,NA,4,"white bark with many black scars",11,1,4.9,75.4296396126909,5,2,11,0,4,7,18,19,0.17696748497304,0.00234612661391087,75.4296396126909,NA,NA,NA,NA,NA,NA,5,7,0.0662869400632634,0.0265147760253053,0.0928017160885687,0.0530295520506107,0.0662869400632634,0.454545454545455,0.181818181818182,0.636363636363636,4,0.454545454545455,0.00602608546029667,0.00241043418411867,0.00843651964441534,0.0530295520506107,0.00602608546029667
"DRCBB01",2020,381,2020-08-25,"Ben and Courtenay",1,0,2,0,1,0,0,5,"with many black",11,1,4.9,75.4296396126909,5,3,11,0,5,6,18.1,19.2166666666667,0.18170422129649,0.00240892336526447,75.4296396126909,11,11,2,1,0,0.313477534090597,5,8,0.0662869400632634,0.039772164037958,0.106059104101221,0.0662869400632634,0.0662869400632634,0.454545454545455,0.272727272727273,0.727272727272727,5,0.454545454545455,0.00602608546029667,0.003615651276178,0.00964173673647467,0.0662869400632634,0.00602608546029667
"DRCRS01",2018,378,2018-07-20,NA,1,0,2,0,NA,NA,NA,6,"really steep",11,1,4.3,58.0880481648753,7,0,11,0,6,5,22.6,16.625,0.107779404564868,0.00185544889129259,58.0880481648753,NA,NA,NA,NA,NA,NA,7,7,0.120506717322149,0,0.120506717322149,0.103291471990413,0.120506717322149,0.636363636363636,0,0.636363636363636,6,0.636363636363636,0.0109551561201954,0,0.0109551561201954,0.103291471990413,0.0109551561201954
"DRCRS01",2020,378,2020-07-10,"Gavin, Courtenay, Aiden",1,1,7,1,NA,NA,22,3,"really steep",14,1,4.3,58.0880481648753,8,5,11,3,3,8,22.7,16.8833333333333,0.166194178365717,0.00286107355327204,58.0880481648753,11,8,2,0.727272727272727,0.147197989525015,0.313477534090597,8,13,0.137721962653885,0.0860762266586779,0.223798189312562,0.0516457359952067,0.137721962653885,0.571428571428571,0.357142857142857,0.928571428571429,3,0.571428571428571,0.00983728304670604,0.00614830190419128,0.0159855849508973,0.0516457359952067,0.00983728304670604
"DRCSA01",2018,290,2018-07-12,NA,1,0,0,0,NA,NA,NA,2,"Very dead looking",11,1,5.4,91.6088417786784,4,5,11,0,2,9,24.1,25.5571428571429,0.362639537791014,0.00395856481481481,91.6088417786784,NA,NA,NA,NA,NA,NA,4,9,0.043663907569793,0.0545798844622412,0.0982437920320341,0.0218319537848965,0.043663907569793,0.363636363636364,0.454545454545455,0.818181818181818,2,0.363636363636364,0.00396944614270845,0.00496180767838556,0.00893125382109401,0.0218319537848965,0.00396944614270845
"DRCSA01",2020,290,2020-07-06,"Roxy, Nicole, Courtenay, Gabriel, Gavin",1,0,0,0,NA,NA,14,3,"dead looking",12,1,5.4,91.6088417786784,5,7,12,0,3,9,24.3,26.2142857142857,0.381454536193363,0.00416394890260631,91.6088417786784,11,11,2,1,0,0.313477534090597,5,12,0.0545798844622412,0.0764118382471377,0.130991722709379,0.0327479306773447,0.0545798844622412,0.416666666666667,0.583333333333333,1,3,0.416666666666667,0.00454832370518677,0.00636765318726147,0.0109159768924482,0.0327479306773447,0.00454832370518677
"DRCSA01",2023,290,2023-08-17,"BB, CR",1,0,4,0,0,0,16,0,"dead looking",14,1,5.4,91.6088417786784,9,5,10,4,4,7,24.7,23.88,0.254090443026016,0.00277364540466392,91.6088417786784,12,8,3,0.666666666666667,0.126447291698001,0.509291090147209,9,14,0.0982437920320341,0.0545798844622412,0.152823676494275,0,0.0982437920320341,0.642857142857143,0.357142857142857,1,0,0.642857142857143,0.00701741371657387,0.00389856317587437,0.0109159768924482,0,0.00701741371657387
"DRMD",2018,263,2018-07-10,NA,NA,NA,0,0,NA,NA,NA,2,NA,11,1,4.5,63.6172512351933,2,1,11,0,2,9,24.2,19.8111111111111,0.292834919824575,0.00460307407407407,63.6172512351933,NA,NA,NA,NA,NA,NA,2,3,0.0314380134502509,0.0157190067251255,0.0471570201753764,0.0314380134502509,0.0314380134502509,0.181818181818182,0.0909090909090909,0.272727272727273,2,0.181818181818182,0.00285800122275009,0.00142900061137504,0.00428700183412513,0.0314380134502509,0.00285800122275009
"DRMD",2023,263,2023-07-06,"VM, MB",0,0,0,0,0,0,4,2,"borderline unhealthy, some surrounding trees with flaky bark",1,1,NA,NA,2,NA,1,0,0,1,24.1,NA,0.0456167107282872,NA,63.6172512351933,11,11,5,NA,NA,0.767023423802733,2.76702342380273,NA,0.0314380134502509,NA,NA,0.0314380134502509,0.0434948598073348,0.181818181818182,NA,NA,0.181818181818182,0.251547583982067,0.00285800122275009,NA,NA,0.00285800122275009,0.00395407816430317
"DVNBJ",2018,470,2018-07-26,NA,0,0,0,0,NA,NA,NA,0,NA,11,1,5.6,98.5203456165759,0,1,11,0,0,11,25,17.3818181818182,0.349134616371394,0.0035437818877551,98.5203456165759,NA,NA,NA,NA,NA,NA,0,1,0,0.0101501876971872,0.0101501876971872,0,0,0,0.0909090909090909,0.0909090909090909,0,0,0,0.000922744336107928,0.000922744336107928,0,0
"DVNBJ",2020,470,2020-07-22,"Aidan, Courtenay",0,0,0,0,0,0,4,0,NA,11,1,5.9,109.358840271461,0,1,11,0,0,11,25.5,17.3636363636364,0.348611541194572,0.00318777650100546,109.358840271461,11,11,2,1,0,0.313477534090597,0,1,0,0.00914420816385495,0.00914420816385495,0,0,0,0.0909090909090909,0.0909090909090909,0,0,0,0.00083129165125954,0.00083129165125954,0,0
"DVNBJ",2023,470,2023-07-11,"EC MB",0,0,0,0,0,0,1,2,"right next to stream bed",1,1,NA,NA,2,NA,1,0,0,1,26.4,NA,0.0547391103961485,NA,98.5203456165759,11,11,3,NA,NA,0.466850165968275,2.46685016596827,NA,0.0203003753943744,NA,NA,0.0203003753943744,0.0250389922054154,0.181818181818182,NA,NA,0.181818181818182,0.224259105997116,0.00184548867221586,NA,NA,0.00184548867221586,0.00227627201867413
"DWHUR",2018,363,2018-07-19,NA,NA,NA,1,1,NA,NA,NA,0,NA,10,1,3.9,47.7836242611007,0,3,10,0,0,10,29.3,15.73,0.254567179711198,0.00532749835634451,47.7836242611007,NA,NA,NA,NA,NA,NA,0,3,0,0.0627830150263887,0.0627830150263887,0,0,0,0.3,0.3,0,0,0,0.00627830150263887,0.00627830150263887,0,0
"DWHUR",2020,363,2020-08-07,"Gavin and Aidan",0,0,1,0,0,0,2,0,NA,10,1,4,50.2654824574367,0,3,10,0,0,10,28.7,15.89,0.257071029056109,0.005114265625,50.2654824574367,10,10,2,1,0,0.284979576445997,0,3,0,0.0596831036594608,0.0596831036594608,0,0,0,0.3,0.3,0,0,0,0.00596831036594607,0.00596831036594607,0,0
"DWHUR",2023,363,2023-07-19,"VM, MB",0,0,0,0,0,0,0,0,NA,1,1,NA,NA,0,NA,1,0,0,1,29.5,NA,0.0683492751696629,NA,47.7836242611007,10,10,3,NA,NA,0.424409241789341,0.424409241789341,NA,0,NA,NA,0,0.00888189726819947,0,NA,NA,0,0.0385826583444855,0,NA,NA,0,0.000807445206199952
"DWLFN",2018,398,2018-07-21,NA,NA,0,3,2,NA,NA,NA,0,NA,11,1,5.5,95.0331777710912,1,2,11,0,0,11,16.3,15.92,0.218524472594726,0.00229945454545455,95.0331777710912,NA,NA,NA,NA,NA,NA,1,3,0.0105226408655799,0.0210452817311597,0.0315679225967396,0,0.0105226408655799,0.0909090909090909,0.181818181818182,0.272727272727273,0,0.0909090909090909,0.000956603715052714,0.00191320743010543,0.00286981114515814,0,0.000956603715052714
"DWLFN",2020,398,2020-08-04,"Gavin and Nicole",0,1,4,2,0,0,2,1,NA,11,1,5.4,91.6088417786784,2,4,11,0,1,10,16.9,17.2111111111111,0.222439682439262,0.00242814643347051,91.6088417786784,11,11,2,1,0,0.313477534090597,2,6,0.0218319537848965,0.043663907569793,0.0654958613546894,0.0109159768924482,0.0218319537848965,0.181818181818182,0.363636363636364,0.545454545454545,1,0.181818181818182,0.00198472307135423,0.00396944614270845,0.00595416921406268,0.0109159768924482,0.00198472307135423
"DWLFN",2023,398,2023-07-07,"EC, MB",1,1,2,3,1,0,2,2,NA,1,1,NA,NA,2,NA,1,0,0,1,17.9,NA,0.0251649425534176,NA,95.0331777710912,11,11,3,NA,NA,0.466850165968275,2.46685016596827,NA,0.0210452817311597,NA,NA,0.0210452817311597,0.0259577783656802,0.181818181818182,NA,NA,0.181818181818182,0.224259105997116,0.00191320743010543,NA,NA,0.00191320743010543,0.00235979803324366
"DWPM",2018,28,2018-06-23,NA,NA,NA,8,0,NA,NA,NA,3,NA,11,1,5.3,88.2473376393373,3,0,11,0,3,8,17.1,24.05,0.368840256291036,0.00417961908152367,88.2473376393373,NA,NA,NA,NA,NA,NA,3,3,0.0339953598629894,0,0.0339953598629894,0.0339953598629894,0.0339953598629894,0.272727272727273,0,0.272727272727273,3,0.272727272727273,0.00309048726027176,0,0.00309048726027176,0.0339953598629894,0.00309048726027176
"DWPM",2023,28,2023-06-28,"EC CP",0,0,17,6,5,0,2,3,"lots of bear sign",1,1,NA,NA,3,NA,1,0,0,1,18.2,NA,0.0260155287643771,NA,88.2473376393373,11,11,5,NA,NA,0.767023423802733,3.76702342380273,NA,0.0339953598629894,NA,NA,0.0339953598629894,0.0426871056348281,0.272727272727273,NA,NA,0.272727272727273,0.342456674891157,0.00309048726027176,NA,NA,0.00309048726027176,0.00388064596680255
"DXLWT",2018,331,2018-07-17,NA,NA,NA,19,4,NA,NA,NA,0,NA,11,1,4.6,66.47610054996,2,0,11,0,0,11,24.9,13.9666666666667,0.181006787727393,0.00272288516068053,66.47610054996,NA,NA,NA,NA,NA,NA,2,2,0.0300860005844793,0,0.0300860005844793,0,0.0300860005844793,0.181818181818182,0,0.181818181818182,0,0.181818181818182,0.00273509096222539,0,0.00273509096222539,0,0.00273509096222539
"DXLWT",2020,331,2020-07-29,"Gavin + Courtenay + Aidan",0,0,15,7,5,0,7,0,NA,12,1,4.6,66.47610054996,2,1,12,0,0,12,25.2,13.52,0.189009209614249,0.00284326559546314,66.47610054996,11,11,2,1,0,0.313477534090597,2,3,0.0300860005844793,0.0150430002922396,0.0451290008767189,0,0.0300860005844793,0.166666666666667,0.0833333333333333,0.25,0,0.166666666666667,0.00250716671537327,0.00125358335768664,0.00376075007305991,0,0.00250716671537327
